id,image_file,class_label
347,007.Parakeet_Auklet/Parakeet_Auklet_0062_795958.jpg,6
3567,062.Herring_Gull/Herring_Gull_0024_48309.jpg,61
5879,101.White_Pelican/White_Pelican_0037_95570.jpg,100
10894,185.Bohemian_Waxwing/Bohemian_Waxwing_0006_796651.jpg,184
9144,156.White_eyed_Vireo/White_Eyed_Vireo_0012_159495.jpg,155
4923,085.Horned_Lark/Horned_Lark_0133_73882.jpg,84
218,004.Groove_billed_Ani/Groove_Billed_Ani_0044_1731.jpg,3
2089,037.Acadian_Flycatcher/Acadian_Flycatcher_0007_795600.jpg,36
2683,047.American_Goldfinch/American_Goldfinch_0041_31969.jpg,46
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,0
421,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0033_2169.jpg,7
6066,104.American_Pipit/American_Pipit_0037_99954.jpg,103
11045,188.Pileated_Woodpecker/Pileated_Woodpecker_0056_180094.jpg,187
1773,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0006_794626.jpg,31
3283,057.Rose_breasted_Grosbeak/Rose_Breasted_Grosbeak_0011_39207.jpg,56
9916,169.Magnolia_Warbler/Magnolia_Warbler_0063_166121.jpg,168
2634,046.Gadwall/Gadwall_0060_31686.jpg,45
523,010.Red_winged_Blackbird/Red_Winged_Blackbird_0014_3761.jpg,9
5023,086.Pacific_Loon/Pacific_Loon_0051_75514.jpg,85
2842,050.Eared_Grebe/Eared_Grebe_0079_34342.jpg,49
125,003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg,2
7706,132.White_crowned_Sparrow/White_Crowned_Sparrow_0001_127115.jpg,131
10051,171.Myrtle_Warbler/Myrtle_Warbler_0104_166829.jpg,170
1188,022.Chuck_will_Widow/Chuck_Will_Widow_0017_796960.jpg,21
1674,030.Fish_Crow/Fish_Crow_0010_25836.jpg,29
10799,184.Louisiana_Waterthrush/Louisiana_Waterthrush_0034_795242.jpg,183
756,014.Indigo_Bunting/Indigo_Bunting_0047_12966.jpg,13
470,009.Brewer_Blackbird/Brewer_Blackbird_0064_2290.jpg,8
2416,043.Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0064_795466.jpg,42
3634,063.Ivory_Gull/Ivory_Gull_0036_49754.jpg,62
5732,098.Scott_Oriole/Scott_Oriole_0058_795849.jpg,97
2267,040.Olive_sided_Flycatcher/Olive_Sided_Flycatcher_0001_30669.jpg,39
10418,177.Prothonotary_Warbler/Prothonotary_Warbler_0116_173444.jpg,176
663,013.Bobolink/Bobolink_0001_9261.jpg,12
4032,070.Green_Violetear/Green_Violetear_0089_795698.jpg,69
10457,178.Swainson_Warbler/Swainson_Warbler_0011_174680.jpg,177
