id,image_file,class_label
347,007.Parakeet_Auklet/Parakeet_Auklet_0062_795958.jpg,6
3567,062.Herring_Gull/Herring_Gull_0024_48309.jpg,61
5879,101.White_Pelican/White_Pelican_0037_95570.jpg,100
10894,185.Bohemian_Waxwing/Bohemian_Waxwing_0006_796651.jpg,184
9144,156.White_eyed_Vireo/White_Eyed_Vireo_0012_159495.jpg,155
4923,085.Horned_Lark/Horned_Lark_0133_73882.jpg,84
218,004.Groove_billed_Ani/Groove_Billed_Ani_0044_1731.jpg,3
2089,037.Acadian_Flycatcher/Acadian_Flycatcher_0007_795600.jpg,36
2683,047.American_Goldfinch/American_Goldfinch_0041_31969.jpg,46
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,0
9317,159.Black_and_white_Warbler/Black_And_White_Warbler_0022_160512.jpg,158
5315,091.Mockingbird/Mockingbird_0049_80336.jpg,90
1574,028.Brown_Creeper/Brown_Creeper_0100_24502.jpg,27
9156,156.White_eyed_Vireo/White_Eyed_Vireo_0125_159078.jpg,155
1929,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0013_27110.jpg,33
6945,119.Field_Sparrow/Field_Sparrow_0078_113575.jpg,118
9415,161.Blue_winged_Warbler/Blue_Winged_Warbler_0059_162064.jpg,160
6404,110.Geococcyx/Geococcyx_0110_104163.jpg,109
9076,155.Warbling_Vireo/Warbling_Vireo_0045_158399.jpg,154
4737,082.Ringed_Kingfisher/Ringed_Kingfisher_0044_72976.jpg,81
5681,097.Orchard_Oriole/Orchard_Oriole_0046_91646.jpg,96
5800,099.Ovenbird/Ovenbird_0096_93131.jpg,98
1617,029.American_Crow/American_Crow_0012_25305.jpg,28
10429,178.Swainson_Warbler/Swainson_Warbler_0025_794881.jpg,177
8828,151.Black_capped_Vireo/Black_Capped_Vireo_0015_797450.jpg,150
4877,084.Red_legged_Kittiwake/Red_Legged_Kittiwake_0006_795436.jpg,83
630,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0083_8300.jpg,11
6458,111.Loggerhead_Shrike/Loggerhead_Shrike_0024_105593.jpg,110
5256,090.Red_breasted_Merganser/Red_Breasted_Merganser_0076_79312.jpg,89
1338,024.Red_faced_Cormorant/Red_Faced_Cormorant_0033_796337.jpg,23
6907,118.House_Sparrow/House_Sparrow_0104_113105.jpg,117
1892,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0025_797274.jpg,33
7880,135.Bank_Swallow/Bank_Swallow_0010_129592.jpg,134
8831,151.Black_capped_Vireo/Black_Capped_Vireo_0005_797453.jpg,150
7835,134.Cape_Glossy_Starling/Cape_Glossy_Starling_0042_129385.jpg,133
