id,image_file,class_label
2451,043.Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0052_42621.jpg,42
1039,019.Gray_Catbird/Gray_Catbird_0117_21333.jpg,18
2550,045.Northern_Fulmar/Northern_Fulmar_0083_43618.jpg,44
2247,040.Olive_sided_Flycatcher/Olive_Sided_Flycatcher_0061_30540.jpg,39
982,018.Spotted_Catbird/Spotted_Catbird_0007_19424.jpg,17
362,007.Parakeet_Auklet/Parakeet_Auklet_0074_795976.jpg,6
274,005.Crested_Auklet/Crested_Auklet_0069_785258.jpg,4
6312,108.White_necked_Raven/White_Necked_Raven_0001_797384.jpg,107
32,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,0
4155,072.Pomarine_Jaeger/Pomarine_Jaeger_0078_795758.jpg,71
262,005.Crested_Auklet/Crested_Auklet_0012_794960.jpg,4
793,015.Lazuli_Bunting/Lazuli_Bunting_0061_15155.jpg,14
5044,087.Mallard/Mallard_0052_76946.jpg,86
7910,135.Bank_Swallow/Bank_Swallow_0017_129755.jpg,134
11652,198.Rock_Wren/Rock_Wren_0063_189121.jpg,197
10191,174.Palm_Warbler/Palm_Warbler_0089_168968.jpg,173
5473,094.White_breasted_Nuthatch/White_Breasted_Nuthatch_0115_86760.jpg,93
7380,126.Nelson_Sharp_tailed_Sparrow/Nelson_Sharp_Tailed_Sparrow_0062_796919.jpg,125
2809,049.Boat_tailed_Grackle/Boat_Tailed_Grackle_0100_33985.jpg,48
7337,126.Nelson_Sharp_tailed_Sparrow/Nelson_Sharp_Tailed_Sparrow_0013_796942.jpg,125
4066,070.Green_Violetear/Green_Violetear_0021_795632.jpg,69
2944,051.Horned_Grebe/Horned_Grebe_0068_35111.jpg,50
385,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0023_797501.jpg,7
272,005.Crested_Auklet/Crested_Auklet_0071_785255.jpg,4
2688,047.American_Goldfinch/American_Goldfinch_0104_32540.jpg,46
3104,054.Blue_Grosbeak/Blue_Grosbeak_0094_36995.jpg,53
5378,092.Nighthawk/Nighthawk_0057_82640.jpg,91
4093,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0005_797062.jpg,70
7089,121.Grasshopper_Sparrow/Grasshopper_Sparrow_0038_115704.jpg,120
3362,058.Pigeon_Guillemot/Pigeon_Guillemot_0072_39905.jpg,57
4374,076.Dark_eyed_Junco/Dark_Eyed_Junco_0087_68102.jpg,75
7699,132.White_crowned_Sparrow/White_Crowned_Sparrow_0029_127503.jpg,131
9511,162.Canada_Warbler/Canada_Warbler_0019_162409.jpg,161
7186,123.Henslow_Sparrow/Henslow_Sparrow_0106_796580.jpg,122
3620,063.Ivory_Gull/Ivory_Gull_0107_49186.jpg,62
3572,062.Herring_Gull/Herring_Gull_0014_47814.jpg,61
990,018.Spotted_Catbird/Spotted_Catbird_0024_796791.jpg,17
6000,103.Sayornis/Sayornis_0076_98941.jpg,102
9544,163.Cape_May_Warbler/Cape_May_Warbler_0068_163147.jpg,162
8961,153.Philadelphia_Vireo/Philadelphia_Vireo_0013_794772.jpg,152
6934,119.Field_Sparrow/Field_Sparrow_0101_113762.jpg,118
2623,046.Gadwall/Gadwall_0066_31557.jpg,45
11739,200.Common_Yellowthroat/Common_Yellowthroat_0028_190527.jpg,199
823,015.Lazuli_Bunting/Lazuli_Bunting_0031_15018.jpg,14
11590,197.Marsh_Wren/Marsh_Wren_0044_188270.jpg,196
5023,086.Pacific_Loon/Pacific_Loon_0051_75514.jpg,85
8483,145.Elegant_Tern/Elegant_Tern_0070_147548.jpg,144
6117,105.Whip_poor_Will/Whip_Poor_Will_0013_796439.jpg,104
10002,170.Mourning_Warbler/Mourning_Warbler_0072_795379.jpg,169
4780,082.Ringed_Kingfisher/Ringed_Kingfisher_0042_72913.jpg,81
3044,053.Western_Grebe/Western_Grebe_0017_36218.jpg,52
9017,154.Red_eyed_Vireo/Red_Eyed_Vireo_0019_156921.jpg,153
6775,116.Chipping_Sparrow/Chipping_Sparrow_0071_108735.jpg,115
6194,106.Horned_Puffin/Horned_Puffin_0081_101054.jpg,105
8838,151.Black_capped_Vireo/Black_Capped_Vireo_0014_797462.jpg,150
1936,035.Purple_Finch/Purple_Finch_0096_27688.jpg,34
6535,112.Great_Grey_Shrike/Great_Grey_Shrike_0045_797047.jpg,111
6365,109.American_Redstart/American_Redstart_0109_103795.jpg,108
4257,074.Florida_Jay/Florida_Jay_0037_64515.jpg,73
11237,191.Red_headed_Woodpecker/Red_Headed_Woodpecker_0098_182732.jpg,190
1029,019.Gray_Catbird/Gray_Catbird_0015_21230.jpg,18
2133,038.Great_Crested_Flycatcher/Great_Crested_Flycatcher_0009_29831.jpg,37
9394,160.Black_throated_Blue_Warbler/Black_Throated_Blue_Warbler_0053_161684.jpg,159
9460,161.Blue_winged_Warbler/Blue_Winged_Warbler_0077_162021.jpg,160
4170,072.Pomarine_Jaeger/Pomarine_Jaeger_0003_795778.jpg,71
5462,094.White_breasted_Nuthatch/White_Breasted_Nuthatch_0040_86127.jpg,93
9241,158.Bay_breasted_Warbler/Bay_Breasted_Warbler_0112_159839.jpg,157
2797,049.Boat_tailed_Grackle/Boat_Tailed_Grackle_0062_33650.jpg,48
7103,122.Harris_Sparrow/Harris_Sparrow_0056_116532.jpg,121
2480,044.Frigatebird/Frigatebird_0049_43044.jpg,43
8006,137.Cliff_Swallow/Cliff_Swallow_0108_133902.jpg,136
77,002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,1
7343,126.Nelson_Sharp_tailed_Sparrow/Nelson_Sharp_Tailed_Sparrow_0030_118064.jpg,125
347,007.Parakeet_Auklet/Parakeet_Auklet_0062_795958.jpg,6
11341,193.Bewick_Wren/Bewick_Wren_0003_185072.jpg,192
11303,192.Downy_Woodpecker/Downy_Woodpecker_0123_184692.jpg,191
6146,106.Horned_Puffin/Horned_Puffin_0024_100620.jpg,105
8288,142.Black_Tern/Black_Tern_0053_143882.jpg,141
747,014.Indigo_Bunting/Indigo_Bunting_0004_13195.jpg,13
5279,091.Mockingbird/Mockingbird_0050_80184.jpg,90
3858,067.Anna_Hummingbird/Anna_Hummingbird_0035_56493.jpg,66
1368,025.Pelagic_Cormorant/Pelagic_Cormorant_0011_23667.jpg,24
702,013.Bobolink/Bobolink_0064_10092.jpg,12
